"window","url","title","hostname"
"Current Window","https://www.google.com/search?q=whisper+speech&sca_esv=562e48654ed7a8f0&udm=2&biw=1920&bih=959&sxsrf=AHTn8zpQ_6EEc0lbMGBKQsh7Ss8rnwzl8A%3A1746103079802&ei=J2sTaIvbMP-Q2roP4vH20QU&ved=0ahUKEwjLisDupIKNAxV_iFYBHeK4PVoQ4dUDCBQ&uact=5&oq=whisper+speech&gs_lp=EgNpbWciDndoaXNwZXIgc3BlZWNoMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIpxRQ0QdYzhFwAXgAkAEAmAFCoAHrAqoBATe4AQPIAQD4AQGYAgigAqYDwgIHECMYJxjJAsICBhAAGAcYHsICCBAAGIAEGLEDwgILEAAYgAQYsQMYgwGYAwCIBgGSBwE4oAe4FLIHATe4B5kD&sclient=img#vhid=KK4KZbhNaaXyIM&vssid=mosaic","whisper speech - Google 搜尋","google.com"
"Current Window","https://www.superannotate.com/blog/openai-whisper-automatic-speech-recognition-system","OpenAI Whisper — Your speech-to-text AI: History and usage | SuperAnnotate","superannotate.com"
"Current Window","chrome://history/","Activity | Better History","history"
"Current Window","https://www.google.com/search?sca_esv=7b0f43a5d44a29e0&sxsrf=AHTn8zrdsf77lFtesirqGc-oD0VCvzjyDw:1746112868347&q=大同電鍋+6人份&source=lnms&fbs=ABzOT_AGBMogrnfXHu6GxeqSvos9CJsmT__hNolpvT0Yqdg7pjkQHRTT8sDAkAYHYNJlJDuRCpa82sQa4eCNebMvLDTY1LQ-PDbVp1_zCcYh1G9aJzJPgB1EhjHFyheAc5qtRBUUuGA7R8lrUP0Hi6Yt7HOnRs3Y95ZAi7ceKXLO902IO5_eSGapvWF9ypegIaVhHA4p3wmthXquKyiAr_vvRwnBjC_YHg&sa=X&ved=2ahUKEwi7soWqyYKNAxWLa_UHHYR8OaQQ0pQJegQIEBAB&biw=1920&bih=959&dpr=1","大同電鍋 6人份 - Google 搜尋","google.com"
"Current Window","https://www.etungo.com.tw/inside/992/993/994/92272.html","【TATUNG大同】6人份大同寶寶綠色電鍋 (TAC-06L-DGU)","etungo.com.tw"
"Current Window","https://www.google.com/search?sca_esv=7b0f43a5d44a29e0&sxsrf=AHTn8zrJ522IDrk0wm35F_EdSs9wpxJJkA:1746113594351&q=text+to+speech+model&udm=2&fbs=ABzOT_AGBMogrnfXHu6GxeqSvos9VMbOt7piEOEzacsdylp_1mFSr4_8ixzw9CkGpEYJUZWtSt0eBUyv4txLGaXylqNa1iotqjIqjQgZ1tgwmuTSlaVwg6VZe21WiiZuHvLXqafcjwgYNNmt5u5ind84k2QtWsWU0JHLp61_fymAtUyNhK-VdUXT70fZagmO70RbDsjoPb4Y&sa=X&ved=2ahUKEwjBkZ2EzIKNAxXfpa8BHdWwImoQtKgLegQIJhAB&biw=1368&bih=647&dpr=1#vhid=R-9H5hOaZ6V1NM&vssid=mosaic","text to speech model - Google 搜尋","google.com"
"Current Window","https://developer.huawei.com/consumer/es/doc/hiai-Guides/ml-tts-0000001050068169","Text to Speech-Text to Speech-Language/Voice-related Services-App Development-Android-ML Kit - HUAWEI Developers","developer.huawei.com"
"Current Window","https://www.flaticon.com/free-icon/mp3_8263134?term=mp3&page=1&position=6&origin=search&related_id=8263134","Search results for Mp3 - Flaticon","flaticon.com"
"Current Window","https://www.flaticon.com/free-icon/speech-synthesis_18263122","Speech synthesis - Free communications icons","flaticon.com"
"Current Window","https://www.google.com/search?sca_esv=7b0f43a5d44a29e0&sxsrf=AHTn8zrXGt_9YTh_s9X0tq7d-gOcSu_tEA:1746113843717&q=whisper+speech&udm=2&fbs=ABzOT_AGBMogrnfXHu6GxeqSvos9YNXXoqT4M1zPLW-rz66fPSRRdwy50CW7p6jtW9rkXcAGaIknCXLmlp5zA9I9BVCaHJhNCkUce-bO98aoLDj88bv2Fqglt_fLRdjGyvk2P_MQBTHA389jMQ4oTPqr_NG7Er-xHNT8nXrwdicv7NMVudNEblSX9aPvKn2-qnUW74hbZ_pg&sa=X&ved=2ahUKEwjPq5H7zIKNAxUYma8BHaSkG1UQtKgLegQIHRAB&biw=1368&bih=647#imgrc=HE_8t7_Q00SNbM&imgdii=40K7ygouO2ZowM","whisper speech - Google 搜尋","google.com"
"Current Window","https://www.linkedin.com/pulse/whisper-ai-your-gateway-free-speech-to-text-translation-alena-gorb-vzqxe/","(29) Whisper AI: Your Gateway to Free Speech-to-Text Transcription and Translation in Python | LinkedIn","linkedin.com"
"Current Window","https://miro.medium.com/v2/resize:fit:2000/1*2kMfgk5OzTra1ujIe5DG6g.jpeg","1*2kMfgk5OzTra1ujIe5DG6g.jpeg (2000×1390)","miro.medium.com"
"Current Window","https://www.google.com/search?q=describe+anything+model&oq=describe+anything+model+&aqs=chrome..69i57j69i59l3j69i64j0i751j0i512i546j69i60.6992j0j4&sourceid=chrome&ie=UTF-8#vhid=OZccJukrytAHSM&vssid=l","describe anything model - Google 搜尋","google.com"
"Current Window","https://www.flaticon.com/free-icon/ai_5278402?term=ai&page=1&position=1&origin=search&related_id=5278402","Search results for Ai - Flaticon","flaticon.com"
"Current Window","https://drive.google.com/drive/u/0/search?q=.note.xlsx 煮飯 type:spreadsheet","搜尋結果 - Google 雲端硬碟","drive.google.com"
"Current Window","https://docs.google.com/document/d/1cJfNnb3xv7pUGS5Rg7xk15WbLEvwIy7lmLg6Zt4Jfqs/edit?tab=t.0","2025-2028_EN - Google 文件","docs.google.com"
"Current Window","https://docs.google.com/spreadsheets/d/1AuPc7FR3yfXlU6k0lYlf20DKobkfSmPn/edit?gid=1907119831#gid=1907119831","20250501 購物 味噌湯與煮飯的問題.note.xlsx - Google 試算表","docs.google.com"
"Current Window","https://chatgpt.com/c/68138f13-418c-8012-92d6-da1c64b0bebe","碗容量計算","chatgpt.com"
"Current Window","https://shopee.tw/","蒸籠✨蒸蛋架 蒸架 蒸菜架加厚不銹鋼提手蒸飯器蒸籠蒸籃炒鍋電飯煲通用家用瀝米飯神器蒸盤 | 蝦皮購物","shopee.tw"
