"window","url","title","hostname"
"Current Window","https://tw.news.yahoo.com/吳思瑤罷免案領銜人退出-中選會：換領銜人須提議人12以上同意-065523724.html","吳思瑤罷免案領銜人退出 中選會：換領銜人須提議人1/2以上同意","tw.news.yahoo.com"
"Current Window","https://github.com/democwise2016/action-UT-Podcast-Daily-202408/actions/runs/14771519430/job/41472227056","Update config-list.js · democwise2016/action-UT-Podcast-Daily-202408@c717984","github.com"
"Current Window","https://news.google.com/foryou?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant","Google 新聞 - 為你推薦","news.google.com"
"Current Window","https://wd.pulipuli.info/aHR0cHM6Ly9zY3JpcHQuZ29vZ2xlLmNvbS9tYWNyb3Mvcy9BS2Z5Y2J6M3BtVFk0dm4yLTdGb3A0TlUzaXFYaVdrQkZSTmNDQzNJeG1OUzRjOVYwTDJQa3pxQmVTbWx1ZGlIeFNZbk5wTG5vUS9leGVj/","GitHub Action WDB","wd.pulipuli.info"
"Current Window","https://github.com/democwise2016/action-RSS-Fulltext-20240420/actions","Workflow runs · democwise2016/action-RSS-Fulltext-20240420","github.com"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
